FIPS,Qualifying Name,File identification,State Postal Abbreviation,Summary Level,Geographic Component,Logical Record Number,US,Census Region,Census Division,State (Census Code),State (FIPS Code),County of current residence,County Subdivision (FIPS),Place (FIPS Code),Census Tract,Block Group,Consolidated City,American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census),American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian TribalSubdivision (Census),American Indian TribalSubdivision (FIPS),Alaska Native RegionalCorporation (FIPS),Metropolitan and MicropolitanStatistical Area,Combined Statistical Area,Metropolitan Statistical Area-Metropolitan Division,Metropolitan Area Central City,Metropolitan/MicropolitanIndicator Flag,New England City and Town Area,New England City and TownCombined Statistical Area,New England City and Town AreaDivision,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),5-digit ZIP Code Tabulation Area,Subminor Civil Division (FIPS),State-School District (Elementary),State-School District (Secondary),State-School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area – 5%File,Public Use Microdata Area - 1% File,Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,Place (State FIPS + Place FIPS),Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population:,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Households:,"Households: Less than $10,000","Households: $10,000 to $14,999","Households: $15,000 to $19,999","Households: $20,000 to $24,999","Households: $25,000 to $29,999","Households: $30,000 to $34,999","Households: $35,000 to $39,999","Households: $40,000 to $44,999","Households: $45,000 to $49,999","Households: $50,000 to $59,999","Households: $60,000 to $74,999","Households: $75,000 to $99,999","Households: $100,000 to $124,999","Households: $125,000 to $149,999","Households: $150,000 to $199,999","Households: $200,000 or More",Median Household Income (In 2021 Inflation Adjusted Dollars),Workers 16 Years and Over:,"Workers 16 Years and Over: Car, Truck, or Van",Workers 16 Years and Over: Drove Alone,Workers 16 Years and Over: Carpooled,Workers 16 Years and Over: Public Transportation (Includes Taxicab),Workers 16 Years and Over: Motorcycle,Workers 16 Years and Over: Bicycle,Workers 16 Years and Over: Walked,Workers 16 Years and Over: Other Means,Workers 16 Years and Over: Worked At Home,Renter-Occupied Housing Units,Renter-Occupied Housing Units: 30 to 49 Percent,Renter-Occupied Housing Units: 50 percent or More,Median Gross Rent
6001404000,"Census Tract 4040, Alameda County, California",ACSSF,ca,140,0,2857,,,,,6,1,,,404000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001404000,Census Tract 4040,,,,3052,1697,470,7,420,20,86,352,3052,84,144,87,69,121,753,640,448,282,305,119,0,1756,70,75,9,0,32,66,78,68,0,167,119,264,255,149,152,252,87303,1959,937,805,132,281,0,52,206,58,425,1346,396,212,1766
6001404101,"Census Tract 4041.01, Alameda County, California",ACSSF,ca,140,0,2858,,,,,6,1,,,404101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001404101,Census Tract 4041.01,,,,3082,2245,240,12,277,0,93,215,3082,93,61,107,40,56,710,614,445,358,387,76,135,1712,51,29,25,26,83,28,83,34,34,67,102,206,199,126,259,360,106375,2125,907,730,177,652,16,68,146,0,336,1082,296,159,2030
6001404102,"Census Tract 4041.02, Alameda County, California",ACSSF,ca,140,0,2859,,,,,6,1,,,404102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001404102,Census Tract 4041.02,,,,2689,1582,147,50,364,0,154,392,2689,292,12,11,0,54,574,536,159,256,268,282,245,1612,97,103,80,57,38,43,9,55,10,99,141,214,162,128,140,236,80000,1430,681,610,71,350,10,33,86,7,263,1392,370,275,1900
6001404200,"Census Tract 4042, Alameda County, California",ACSSF,ca,140,0,2860,,,,,6,1,,,404200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001404200,Census Tract 4042,,,,3929,2718,195,12,631,32,90,251,3929,263,210,228,171,346,305,521,500,643,431,217,94,1437,28,14,0,13,0,18,0,0,41,51,40,163,88,151,110,720,200163,1816,1008,891,117,314,9,31,90,8,356,288,51,34,2625
6001404300,"Census Tract 4043, Alameda County, California",ACSSF,ca,140,0,2861,,,,,6,1,,,404300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001404300,Census Tract 4043,,,,3562,2576,41,26,519,0,80,320,3562,111,235,198,189,178,376,304,645,614,488,189,35,1408,42,25,20,0,0,0,19,9,69,25,62,62,72,68,202,733,204118,1838,863,793,70,268,0,76,36,0,595,106,55,0,3148
6001404800,"Census Tract 4048, Alameda County, California",ACSSF,ca,140,0,2867,,,,,6,1,,,404800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001404800,Census Tract 4048,,,,2722,1691,314,25,454,0,65,173,2722,125,131,160,71,242,322,359,393,368,358,141,52,1139,72,44,24,0,0,89,0,18,12,58,131,96,126,68,96,305,106250,1371,813,608,205,257,26,53,42,31,149,586,116,142,1563
6001404900,"Census Tract 4049, Alameda County, California",ACSSF,ca,140,0,2868,,,,,6,1,,,404900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001404900,Census Tract 4049,,,,4461,2763,338,36,632,42,180,470,4461,264,244,235,54,111,505,709,690,702,697,201,49,1966,21,54,65,16,33,83,7,92,77,34,105,146,181,168,342,542,134500,2734,1441,1169,272,506,22,33,63,0,669,896,181,131,2002
6001406000,"Census Tract 4060, Alameda County, California",ACSSF,ca,140,0,2882,,,,,6,1,,,406000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001406000,Census Tract 4060,,,,4288,1109,614,35,1761,14,575,180,4288,159,205,292,120,288,609,707,714,570,307,155,162,1728,33,192,52,105,34,187,84,26,104,106,116,148,84,100,100,257,53333,2285,1345,1216,129,468,28,51,64,66,263,1452,355,189,1208
6001406100,"Census Tract 4061, Alameda County, California",ACSSF,ca,140,0,2883,,,,,6,1,,,406100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001406100,Census Tract 4061,,,,5072,1250,488,44,1201,7,1744,338,5072,339,127,210,160,566,968,903,541,637,428,139,54,1666,140,189,21,40,108,43,16,151,50,91,115,108,108,72,208,206,54560,2397,1740,1588,152,387,0,12,88,9,161,1065,155,471,1287
6001406201,"Census Tract 4062.01, Alameda County, California",ACSSF,ca,140,0,2884,,,,,6,1,,,406201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06001406201,Census Tract 4062.01,,,,5134,365,976,216,1501,0,2027,49,5134,302,393,508,216,619,1066,593,665,423,256,83,10,1551,164,77,102,0,91,11,104,145,25,160,252,185,77,48,92,18,56702,2335,1606,1264,342,412,0,0,120,37,160,1272,311,376,1293
