,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,stop_id,stop_name,stop_code,zone_id,2/12/23 14:59,02/15/2023 19:35:55,02/24/2023 14:41:57,02/25/2023 14:07:55,02/25/2023 16:27:52,02/25/2023 18:01:03,03/03/2023 13:06:23,03/03/2023 16:06:44,03/04/2023 10:45:31,03/04/2023 14:11:11,03/06/2023 09:33:33,03/06/2023 14:23:30,03/10/2023 14:54:38,03/10/2023 17:21:25,03/12/2023 13:13:02,03/12/2023 17:20:22,03/16/2023 13:01:29,03/16/2023 17:46:03
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3701,Broadway & W MacArthur Blvd,50147,E,400.5,130.5,266.0,226.66666666666663,189.3333333333333,206.3333333333333,170.0,1059.0,388.0,199.5,209.0,277.0,321.5,125.75,213.5,132.0,376.75,303.3333333333333
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,3720,Keith Av & College Av,50484,E,0.0,130.5,266.0,0.0,0.0,0.0,170.0,1059.0,0.0,0.0,209.0,277.0,328.6666666666667,125.75,0.0,0.0,376.75,484.8
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,5231,Broadway & Mather St,50986,E,296.0,130.5,266.0,195.66666666666663,120.33333333333331,189.3333333333333,170.0,1059.0,189.0,132.5,209.0,277.0,321.5,125.75,199.5,101.0,376.75,484.8
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,5315,Santa Clara Av & Walnut St,51461,E,112.0,371.0,325.5,271.0,149.66666666666666,220.0,306.0,441.6666666666667,266.6666666666667,170.0,296.0,134.0,0.0,52.0,74.8,145.0,357.0,217.0
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,5318,Santa Clara Av & Oak St,51471,E,122.0,371.0,325.5,287.0,143.66666666666666,217.0,306.0,202.0,273.0,175.0,296.0,0.0,0.0,52.0,57.0,153.0,357.0,217.0
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,5319,Santa Clara Av & Morton St,51474,E,88.66666667,371.0,325.5,189.0,68.33333333333333,215.0,306.0,441.6666666666667,272.0,76.0,296.0,134.0,258.0,52.0,136.0,124.5,357.0,217.0
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,5321,Santa Clara Av & Mozart St,51476,E,56.66666667,371.0,325.5,175.0,41.333333333333336,198.0,306.0,441.6666666666667,520.0,61.0,296.0,134.0,258.0,52.0,73.0,105.0,357.0,217.0
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,5322,Webster St & Buena Vista Av,51478,E,108.6666667,371.0,325.5,224.0,75.0,256.0,306.0,441.6666666666667,206.66666666666663,92.0,296.0,134.0,258.0,52.0,134.66666666666666,146.0,357.0,217.0
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,5326,Broadway & 30th St,51502,E,349.0,130.5,325.5,251.66666666666663,180.3333333333333,225.3333333333333,157.0,1059.0,7.0,232.5,252.5,277.0,321.5,125.75,240.5,147.0,342.6666666666667,303.3333333333333
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,5327,Broadway & Kaiser Hospital Entrance,51503,E,328.0,130.5,266.0,242.66666666666663,175.33333333333334,208.3333333333333,170.0,1059.0,0.0,183.5,209.0,277.0,321.5,125.75,220.5,121.0,342.6666666666667,303.3333333333333
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5328,Broadway & Pleasant Valley Av,51504,E,324.0,130.5,266.0,208.66666666666663,126.33333333333331,219.3333333333333,170.0,1059.0,214.5,154.5,209.0,277.0,321.5,125.75,162.33333333333334,100.0,376.75,484.8
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,6036,Broadway & 11th St (12th St BART),52999,E,171.0,371.0,325.5,189.66666666666663,33.666666666666664,133.0,306.0,921.0,599.0,68.5,296.0,277.0,258.0,55.0,159.66666666666666,58.0,357.0,303.3333333333333
